     0.017      0.312      0.102      1.332      0.127      0.555     -1.395      0.113      0.000      0.887      0.000      3.000  36
     0.210      2.205      2.122     -0.138      1.397     -0.729      0.796      0.999      0.000      0.001      0.000      1.000  37
     0.785     -0.423     -0.559      0.718      1.123     -0.254     -0.286      0.010      0.000      0.990      0.000      3.000  38
     0.069     -0.042     -0.697     -0.153     -0.090      0.101     -0.186      0.000      0.960      0.040      0.000      2.000  39
     0.252      1.590      0.997     -0.138     -0.230      0.553     -0.142      0.148      0.116      0.736      0.000      3.000  40
    -0.370     -0.083      0.698     -0.493     -0.722     -0.592      0.554      0.246      0.000      0.754      0.000      3.000  41
    -0.640     -0.643     -0.342     -0.105      0.087      0.310      0.100      0.003      0.868      0.129      0.000      2.000  42
    -2.099     -0.659     -0.728     -1.923     -0.418     -0.265     -1.160      0.997      0.000      0.003      0.000      1.000  43
    -0.278     -1.341     -1.029     -0.125      0.157      0.054     -0.429      0.003      0.921      0.076      0.000      2.000  44
     0.741      0.600      0.993      0.938      0.600     -0.412     -0.271      0.081      0.000      0.919      0.000      3.000  46
     0.295     -0.772      4.173     -0.859     -3.661     -0.494      0.101      1.000      0.000      0.000      0.000      1.000  47
    -0.982      0.207      1.862      0.117      0.272     -0.017      0.300      0.860      0.110      0.030      0.000      1.000  48
     0.846      1.370     -0.586     -0.674     -2.560     -0.174     -0.597      0.907      0.000      0.093      0.000      1.000  50
     0.325      0.642     -0.446     -0.191      0.109     -0.153     -0.088      0.000      0.963      0.037      0.000      2.000  51
    -0.532      0.460      0.080      0.384      0.391     -0.163     -0.246      0.011      0.340      0.649      0.000      3.000  52
     0.215      0.426     -0.764      0.270      0.709     -0.468     -0.308      0.009      0.004      0.987      0.000      3.000  53
     0.640      0.574     -0.640     -0.065      0.007     -0.019     -0.168      0.000      0.970      0.030      0.000      2.000  55
    -0.576     -0.362     -1.005      1.277      0.057     -0.017      0.174      0.069      0.000      0.931      0.000      3.000  56
     1.692      1.003     -0.233      0.006      0.597      0.074      0.470      0.000      0.000      0.000      1.000      4.000  57
     0.830      0.522      0.044      0.383      0.104     -0.501     -0.129      0.005      0.151      0.844      0.000      3.000  58
    -0.340     -1.628     -1.001     -2.956     -0.351      0.319      0.422      0.997      0.000      0.003      0.000      1.000  59
     0.878      0.934     -0.497      0.044      0.266     -0.740     -0.739      0.013      0.000      0.987      0.000      3.000  60
     0.289      0.320     -0.847     -0.334      0.483      1.017     -0.054      0.033      0.000      0.967      0.000      3.000  64
     1.490     -0.117     -0.385     -0.969     -1.076     -0.099     -0.544      0.066      0.000      0.934      0.000      3.000  66
     0.480      0.683      0.221      1.189      1.038      0.730     -1.328      0.144      0.000      0.856      0.000      3.000  68
     0.655      0.090     -0.409     -1.299      0.423     -0.831      0.077      0.058      0.000      0.942      0.000      3.000  69
    -0.480     -0.029      0.400     -0.568     -0.058     -0.709     -1.538      0.334      0.000      0.666      0.000      3.000  70
     0.449      0.769     -0.295     -0.176     -0.124      0.293     -0.233      0.001      0.777      0.221      0.000      2.000  71
    -2.743     -0.247      0.910      2.703      0.834     -1.682     -1.068      1.000      0.000      0.000      0.000      1.000  72
     0.814     -1.317      0.250      0.806      1.110     -0.383     -0.613      0.039      0.000      0.961      0.000      3.000  73
    -0.061     -0.533      0.268     -0.197      0.059     -0.144      0.075      0.000      0.966      0.034      0.000      2.000  74
     0.762      0.148     -0.420      0.269     -1.506      0.773     -0.841      0.137      0.000      0.863      0.000      3.000  76
    -0.301     -1.643     -0.897     -0.074      0.115     -0.042     -0.249      0.001      0.984      0.015      0.000      2.000  77
     0.640      0.574     -0.640     -0.065      0.007     -0.019     -0.168      0.000      0.970      0.030      0.000      2.000  78
     1.550      1.166     -0.313      0.121     -0.004      0.928      0.300      0.026      0.000      0.974      0.000      3.000  79
    -0.785      0.049     -0.879     -0.536      0.243     -0.295      0.996      0.143      0.000      0.857      0.000      3.000  80
     0.530      0.245      0.339     -0.276      0.035      0.013      0.274      0.002      0.799      0.199      0.000      2.000  81
     1.275     -0.701      2.473     -0.079      1.028      0.532      0.398      0.999      0.000      0.001      0.000      1.000  82
     0.151     -1.254      0.256      0.203     -0.352     -0.092     -0.055      0.003      0.858      0.139      0.000      2.000  83
     1.095      0.964     -0.462     -0.808      1.166     -0.788      0.980      0.126      0.000      0.874      0.000      3.000  84
     0.303      0.134     -0.864     -0.435     -0.097     -0.145      0.045      0.002      0.789      0.209      0.000      2.000  85
     0.274      0.266     -0.413     -0.349      0.446      0.560      1.211      0.042      0.000      0.958      0.000      3.000  86
     1.194      0.426     -0.450      0.182      0.039     -0.292     -0.790      0.006      0.008      0.985      0.000      3.000  87
    -0.169      0.105     -0.721      0.289      0.112      0.290     -0.317      0.004      0.541      0.455      0.000      2.000  88
     0.230      0.158      0.741      0.240     -1.132      0.529     -0.382      0.139      0.000      0.861      0.000      3.000  89
    -0.367      0.386      0.603      0.230      0.427      0.678      0.101      0.059      0.002      0.939      0.000      3.000  91
    -0.054      0.605     -0.837      0.956     -1.180     -0.204     -0.023      0.073      0.000      0.927      0.000      3.000  93
     0.668      0.161     -0.454      0.799      0.625      0.547     -0.134      0.008      0.000      0.992      0.000      3.000  94
    -1.092      0.621     -0.752     -0.814     -0.414     -0.356     -1.305      0.446      0.000      0.554      0.000      3.000  95
     1.342      1.133     -0.355      0.320     -0.347      0.356      0.359      0.010      0.007      0.982      0.000      3.000  97
     0.634     -0.469     -0.504      1.001      1.255     -0.424     -1.179      0.050      0.000      0.950      0.000      3.000  98
    -0.261     -0.012     -0.949      1.379     -1.070      0.477      1.312      0.596      0.000      0.404      0.000      1.000  99
