    -1.154     -0.768     -1.177     -0.982      0.341      0.917      0.934      0.225      0.000      0.001      0.774      0.000      4.000 1457
    -2.402      0.102     -0.097      1.009     -0.196     -0.607      2.083      0.995      0.000      0.000      0.005      0.000      1.000  568
    -0.084     -1.296     -0.423     -2.143      1.083     -1.927      1.812      0.574      0.000      0.000      0.426      0.000      1.000  322
    -2.172     -0.802     -1.566     -1.806      0.091      1.327      0.555      0.972      0.000      0.000      0.028      0.000      1.000 1653
    -0.591      0.586      1.648      0.258     -0.262     -0.168     -0.709      0.060      0.000      0.122      0.818      0.000      4.000  486
     0.339     -0.540      0.571     -0.442      0.229     -1.187     -0.168      0.011      0.161      0.137      0.692      0.000      4.000 1469
     1.053     -0.012     -0.997      0.665     -0.769      0.414      0.378      0.004      0.664      0.318      0.015      0.000      2.000  809
     0.011     -0.697     -0.378     -0.387     -2.038     -0.522     -0.452      0.107      0.001      0.863      0.029      0.000      3.000 1630
     0.460      1.708      3.039     -0.106      0.321      0.018     -0.356      0.006      0.000      0.976      0.018      0.000      3.000  868
     0.470      0.459     -0.183     -0.054     -0.085     -0.084     -0.198      0.000      0.954      0.028      0.018      0.000      2.000 1423
     1.105     -0.339      0.754      0.016      0.652      0.032      0.597      0.002      0.157      0.802      0.038      0.000      3.000  349
    -0.638     -1.723     -0.786     -2.633      0.765      0.790      0.319      0.276      0.000      0.000      0.724      0.000      4.000 1443
    -1.659     -0.469      0.355      0.622     -3.027      1.238      1.094      1.000      0.000      0.000      0.000      0.000      1.000 1506
    -0.639     -0.097      2.328     -0.376      0.537     -0.233     -0.632      0.056      0.000      0.142      0.801      0.000      4.000  554
    -0.316      1.631      1.735      0.771      0.838     -3.422      0.506      0.808      0.000      0.000      0.192      0.000      1.000  159
     0.107     -2.140      1.619     -0.670     -0.682     -0.560      0.179      0.027      0.000      0.727      0.247      0.000      3.000  806
    -1.623     -1.216      0.382      1.183      0.633      1.740      0.059      0.718      0.000      0.000      0.282      0.000      1.000  610
     0.165      0.469     -0.628      0.397     -1.659      1.174      1.288      0.321      0.003      0.635      0.041      0.000      3.000  934
    -0.273      1.007     -0.631     -1.046      0.023      0.238      0.358      0.027      0.263      0.024      0.686      0.000      4.000  382
    -0.761      0.183     -0.204     -0.135      0.421     -0.451     -0.443      0.019      0.166      0.007      0.808      0.000      4.000  996
    -1.798     -0.543      1.210      1.757     -0.266      0.446     -0.205      0.749      0.000      0.000      0.251      0.000      1.000 1628
     0.202     -0.127     -0.524     -0.457      0.616     -0.654      0.299      0.002      0.866      0.021      0.112      0.000      2.000 1766
    -0.381      1.234      0.264      0.349      0.475      0.694      0.517      0.043      0.097      0.080      0.780      0.000      4.000  314
